period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base
validation,z,tau,5m,G-seas-10m,209550,366,0.075386,0.073988,0.076693,0.25018,0.24538,0.2548,-0.0075564,-0.0090959,-0.0058311,-0.0016056,-0.0018223,-0.0013956,0.00042472,G-raw-2h
validation,z,tau,3m,G-seas-10m,209550,366,0.073255,0.07195,0.074551,0.24329,0.23884,0.24785,-0.0080935,-0.0096621,-0.0065394,-0.0017384,-0.0019701,-0.0015223,0.0009592,G-raw-2h
validation,z,tau,2m,G-seas-10m,209550,366,0.072455,0.071133,0.073731,0.24249,0.2378,0.24721,-0.0084113,-0.010317,-0.006469,-0.0019163,-0.0021486,-0.0016763,0.00045812,G-raw-2h
validation,z,tau,60m,G-seas-30m,209550,366,0.086376,0.084687,0.088117,0.29205,0.28584,0.29867,-0.0015606,-0.0035408,0.00053452,-0.0008353,-0.0010251,-0.00064649,0.0027869,G-raw-2h
validation,z,tau,45m,G-seas-30m,209550,366,0.085265,0.083577,0.086871,0.28528,0.279,0.29151,-0.0035277,-0.0053594,-0.0016145,-0.00093497,-0.0011094,-0.0007511,0.0014984,G-raw-2h
validation,z,tau,30m,G-seas-30m,209550,366,0.083692,0.082174,0.085241,0.2789,0.2735,0.28481,-0.0062106,-0.0079491,-0.0043462,-0.0012843,-0.0014729,-0.0010882,-0.0020425,G-raw-2h
validation,z,tau,20m,G-seas-30m,209550,366,0.079472,0.078052,0.080918,0.26571,0.2605,0.27097,-0.0054719,-0.007085,-0.0037933,-0.0011896,-0.0013698,-0.00098109,0.00073968,G-raw-2h
validation,z,tau,15m,G-seas-30m,209550,366,0.08009,0.078707,0.081553,0.26593,0.2608,0.27117,-0.0054255,-0.0069636,-0.0037092,-0.0011038,-0.0012732,-0.0009177,-0.00013839,G-raw-2h
validation,z,tau,10m,G-seas-30m,209550,366,0.079656,0.078257,0.080895,0.26437,0.25947,0.26919,-0.0055135,-0.0069509,-0.0039151,-0.0010586,-0.0012352,-0.00087666,0.0015128,G-raw-2h
validation,z,tau,5m,G-seas-30m,209550,366,0.075758,0.074429,0.077071,0.25118,0.2466,0.25561,-0.006551,-0.0076589,-0.0053481,-0.001233,-0.0013966,-0.0010715,0.00042472,G-raw-2h
validation,z,tau,3m,G-seas-30m,209550,366,0.073693,0.072416,0.074961,0.24442,0.24013,0.24865,-0.0069583,-0.0080634,-0.0059032,-0.0013002,-0.0014642,-0.0011342,0.0009592,G-raw-2h
validation,z,tau,2m,G-seas-30m,209550,366,0.073015,0.071739,0.074274,0.24381,0.23956,0.24814,-0.0070941,-0.0083538,-0.0057439,-0.001356,-0.0015211,-0.0011883,0.00045812,G-raw-2h
validation,z,tau,60m,G-seas-2h,209550,366,0.086451,0.084749,0.088194,0.28869,0.28303,0.29447,-0.0049139,-0.0064408,-0.0033535,-0.00076033,-0.00092867,-0.00059121,0.0027869,G-raw-2h
validation,z,tau,45m,G-seas-2h,209550,366,0.085473,0.083793,0.087109,0.28436,0.27839,0.29014,-0.0044401,-0.0057655,-0.0029681,-0.00072716,-0.00087761,-0.00056745,0.0014984,G-raw-2h
validation,z,tau,30m,G-seas-2h,209550,366,0.084114,0.082628,0.085656,0.27973,0.2744,0.28529,-0.005387,-0.0067717,-0.0038819,-0.00086269,-0.0010296,-0.00069395,-0.0020425,G-raw-2h
validation,z,tau,20m,G-seas-2h,209550,366,0.080056,0.078618,0.081498,0.26813,0.26309,0.27328,-0.0030453,-0.0042033,-0.0018394,-0.00060555,-0.00074842,-0.00044804,0.00073968,G-raw-2h
validation,z,tau,15m,G-seas-2h,209550,366,0.080703,0.079301,0.082215,0.26901,0.26401,0.27427,-0.0023444,-0.0034187,-0.0012224,-0.00049028,-0.00062112,-0.00034751,-0.00013839,G-raw-2h
validation,z,tau,10m,G-seas-2h,209550,366,0.080236,0.078879,0.08147,0.26771,0.26289,0.27211,-0.0021647,-0.0031491,-0.0010706,-0.00047957,-0.00061116,-0.00033851,0.0015128,G-raw-2h
validation,z,tau,5m,G-seas-2h,209550,366,0.076592,0.075248,0.077869,0.25588,0.25134,0.26025,-0.0018509,-0.00271,-0.00097634,-0.00039926,-0.00052434,-0.00027059,0.00042472,G-raw-2h
validation,z,tau,3m,G-seas-2h,209550,366,0.074598,0.073299,0.075814,0.24942,0.24508,0.25351,-0.0019609,-0.0028544,-0.0011442,-0.00039562,-0.00051938,-0.0002829,0.0009592,G-raw-2h
validation,z,tau,2m,G-seas-2h,209550,366,0.074036,0.072774,0.075287,0.24923,0.24508,0.25349,-0.0016715,-0.0025471,-0.00083937,-0.00033499,-0.0004565,-0.00021999,0.00045812,G-raw-2h
validation,z,tau,60m,G-seas-6h,209550,366,0.086774,0.085157,0.088424,0.28936,0.28403,0.29508,-0.0042419,-0.0061091,-0.0022678,-0.00043689,-0.00064234,-0.0001995,0.0027869,G-raw-2h
validation,z,tau,45m,G-seas-6h,209550,366,0.085898,0.084261,0.087451,0.28609,0.28049,0.29171,-0.0027183,-0.0044108,-0.00072792,-0.00030179,-0.00050907,-3.518e-05,0.0014984,G-raw-2h
validation,z,tau,30m,G-seas-6h,209550,366,0.084675,0.083184,0.086182,0.28265,0.27738,0.28811,-0.0024593,-0.0042448,-0.00048239,-0.00030134,-0.00050205,-5.0781e-05,-0.0020425,G-raw-2h
validation,z,tau,20m,G-seas-6h,209550,366,0.080764,0.079375,0.082135,0.27191,0.26669,0.27697,0.00073629,-0.00074941,0.0025432,0.00010292,-8.6231e-05,0.00034037,0.00073968,G-raw-2h
validation,z,tau,15m,G-seas-6h,209550,366,0.08144,0.080048,0.082895,0.27329,0.26829,0.27859,0.0019386,0.00043473,0.0036453,0.0002463,6.7564e-05,0.00047603,-0.00013839,G-raw-2h
validation,z,tau,10m,G-seas-6h,209550,366,0.081003,0.079677,0.082183,0.27264,0.26786,0.27731,0.0027633,0.0012409,0.0044195,0.00028835,9.9303e-05,0.00049623,0.0015128,G-raw-2h
validation,z,tau,5m,G-seas-6h,209550,366,0.077445,0.076125,0.078722,0.2611,0.25657,0.26557,0.0033649,0.0019275,0.0049306,0.0004537,0.00026375,0.00064638,0.00042472,G-raw-2h
validation,z,tau,3m,G-seas-6h,209550,366,0.075519,0.074278,0.076691,0.25479,0.2506,0.259,0.003409,0.0020247,0.0048129,0.00052567,0.00034777,0.0007261,0.0009592,G-raw-2h
validation,z,tau,2m,G-seas-6h,209550,366,0.075053,0.073795,0.076286,0.25478,0.25056,0.25903,0.0038773,0.002528,0.0052391,0.00068172,0.00048431,0.00088554,0.00045812,G-raw-2h
