period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base,layout
validation,z,tau,10m,T-blend,209550,366,0.079037,0.077591,0.080337,0.26016,0.25541,0.26464,-0.00034175,-0.00061402,-4.1894e-05,-7.8315e-05,-0.00012109,-3.8539e-05,0.0015128,flat|T-blend,day_type/30m/ET
validation,z,tau,5m,T-blend,209550,366,0.074765,0.073269,0.076186,0.24622,0.24146,0.25084,-0.00026869,-0.00053498,-1.8177e-05,-4.3388e-05,-8.1849e-05,-5.3583e-06,0.00042472,flat|T-blend,day_type/30m/ET
validation,z,tau,3m,T-blend,209550,366,0.072418,0.071023,0.073807,0.23885,0.23425,0.2435,-0.00017309,-0.00040046,6.3686e-05,-2.966e-05,-6.3413e-05,-3.8841e-07,0.0009592,flat|T-blend,day_type/30m/ET
validation,z,tau,2m,T-blend,209550,366,0.071469,0.070006,0.072856,0.23706,0.23229,0.24175,-2.869e-05,-0.00025735,0.00018428,-1.1112e-05,-4.1493e-05,1.8143e-05,0.00045812,flat|T-blend,day_type/30m/ET
validation,z,tau,60m,G-blend,209550,366,0.08663,0.08505,0.088239,0.28757,0.2823,0.2928,0.0013478,-0.00017336,0.0029371,0.00037326,0.00012591,0.00063828,0.0027869,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,45m,G-blend,209550,366,0.085624,0.084003,0.087122,0.28305,0.27783,0.28835,0.0014201,0.0001497,0.0027013,0.00044436,0.00023263,0.00069712,0.0014984,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,30m,G-blend,209550,366,0.08418,0.08273,0.085672,0.27821,0.27327,0.28343,0.0013103,0.0003257,0.0023103,0.00039279,0.00020353,0.00058781,-0.0020425,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,20m,G-blend,209550,366,0.079642,0.078244,0.081043,0.26485,0.2599,0.2697,0.0033862,0.0025777,0.0042921,0.00074494,0.00058642,0.0009186,0.00073968,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,15m,G-blend,209550,366,0.080136,0.078784,0.081564,0.26505,0.26032,0.27012,0.0028869,0.0021332,0.00377,0.00048235,0.0003463,0.00062179,-0.00013839,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,10m,G-blend,209550,366,0.07953,0.078174,0.080759,0.26306,0.25828,0.26768,0.0025579,0.0018724,0.0033451,0.00041428,0.00029451,0.00053464,0.0015128,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,5m,G-blend,209550,366,0.075203,0.073813,0.07653,0.24879,0.24409,0.25337,0.0022961,0.001698,0.0029205,0.00039459,0.00028598,0.0005071,0.00042472,flat|T-blend,hour_of_week/60m/UTC
